id,apiId,model,promptTokens,completionTokens,totalTokens,cost,ip,openaiKeyId,createTime
1068698609,as-ku262xmqpx,deepseek-r1-250528,526,3624,4150,0.0360528,36.103.203.3,149014,1765757193000
1068696037,as-vvkfqhrnac,deepseek-r1-250528,127,432,559,0.004452,36.103.203.2,149014,1765757109000
1068695679,as-p6yzkrt84j,deepseek-r1-250528,501,1454,1955,0.0151608,36.103.203.3,149014,1765757098000
1068694645,as-bh1nwy6k95,deepseek-r1-250528,102,324,426,0.0033552,36.103.203.3,149014,1765757064000
1068694344,as-zh7p54mrr4,deepseek-r1-250528,473,1857,2330,0.0189624,36.103.203.3,149014,1765757055000
1068692979,as-gkvwhgdq23,deepseek-r1-250528,92,669,761,0.0066432,36.103.203.3,149014,1765757011000
1068692451,as-dugrryrrjw,deepseek-r1-250528,501,3160,3661,0.0315384,36.103.203.2,149014,1765756994000
1068692418,as-qttbfkvcvv,deepseek-r1-250528,501,1865,2366,0.0191064,36.103.203.2,149014,1765756993000
1068689847,as-8iaqf6hy41,deepseek-r1-250528,120,672,792,0.0067392,36.103.203.3,149014,1765756921000
1068689335,as-8tt1jim0ba,deepseek-r1-250528,487,1680,2167,0.0172968,36.103.203.2,149014,1765756904000
1068688162,as-j4giti3gt7,deepseek-r1-250528,103,288,391,0.003012,36.103.203.2,149014,1765756864000
1068687916,as-3j3mfmn7ek,deepseek-r1-250528,449,362,811,0.0045528,36.103.203.3,149014,1765756856000
1068687651,as-gfapn6rubn,deepseek-r1-250528,79,866,945,0.0085032,36.103.203.2,149014,1765756847000
1068686963,as-k8mnmxf01m,deepseek-r1-250528,484,3014,3498,0.030096,36.103.203.2,149014,1765756826000
1068684665,as-7zr8dsxt4z,deepseek-r1-250528,106,411,517,0.0042,36.103.203.2,149014,1765756755000
1068684354,as-f99hh39imv,deepseek-r1-250528,457,663,1120,0.0074616,36.103.203.3,149014,1765756744000
1068683849,as-pz653rbkph,deepseek-r1-250528,79,1020,1099,0.0099816,36.103.203.3,149014,1765756727000
1068683117,as-rtxu50d96v,deepseek-r1-250528,515,2075,2590,0.021156,36.103.203.3,149014,1765756703000
1068681630,as-th20fyim1r,deepseek-r1-250528,149,422,571,0.0044088,36.103.203.2,149014,1765756653000
1068681271,as-7i83j5itjy,deepseek-r1-250528,33678,3158,36836,0.111144,36.103.203.3,149014,1765756641000
1068573625,as-tqsdasvqy3,deepseek-r1-250528,1288,1463,2751,0.017136,36.103.203.3,149014,1765753504000
1068572627,as-rwkv2rvv30,deepseek-r1-250528,2761,5472,8233,0.0591576,36.103.203.2,149014,1765753470000
1068568531,as-yhqv8pqx70,deepseek-r1-250528,338,2335,2673,0.0232272,36.103.203.3,149014,1765753348000
1068566467,as-ybgdny99cz,deepseek-r1-250528,59,760,819,0.0074376,36.103.203.2,149014,1765753293000
1068565790,chatcmpl-8Tos2WZQfPdBaccpgMkasGxtQfJtq,deepseek-r1-250528,99710,5,99715,0.239352,36.103.203.3,148530,1765753274000
1068468209,as-0c1xi3gbrm,deepseek-r1-250528,1303,5523,6826,0.056148,36.103.203.3,149014,1765750365000
1068464011,as-2g7pufpu46,deepseek-r1-250528,2769,2378,5147,0.0294744,36.103.203.2,149014,1765750245000
1068462211,as-5ymahqy2h5,deepseek-r1-250528,529,1167,1696,0.0124728,36.103.203.3,149014,1765750193000
1068461397,as-qinu8k7zrx,deepseek-r1-250528,163,438,601,0.004596,36.103.203.2,149014,1765750166000
1068461065,as-tns7kwmnrn,deepseek-r1-250528,521,2798,3319,0.0281112,36.103.203.2,149014,1765750154000
1068459153,as-qq0um3vhzu,deepseek-r1-250528,155,412,567,0.0043272,36.103.203.3,149014,1765750090000
1068458765,as-cdqii720tb,deepseek-r1-250528,478,2607,3085,0.0261744,36.103.203.3,149014,1765750080000
1068456535,as-1pkynib1qf,deepseek-r1-250528,100,253,353,0.0026688,36.103.203.2,149014,1765750021000
1068456260,as-it8mryza3g,deepseek-r1-250528,584,2587,3171,0.0262368,36.103.203.2,149014,1765750013000
1068454056,as-x7sapurtef,deepseek-r1-250528,203,351,554,0.0038568,36.103.203.2,149014,1765749956000
1068453684,as-nqbbeaw3iw,deepseek-r1-250528,20143,2444,22587,0.0718056,36.103.203.3,149014,1765749946000
1068352306,as-wukmfvqf3a,deepseek-r1-250528,1313,2989,4302,0.0318456,36.103.203.3,149014,1765747091000
1068349907,as-8q0y9nzzap,deepseek-r1-250528,2773,1169,3942,0.0178776,36.103.203.3,149014,1765747026000
1068348964,as-d4pru6b6sr,deepseek-r1-250528,507,1234,1741,0.0130632,36.103.203.2,149014,1765747000000
1068348206,as-6w7fqrnnxv,deepseek-r1-250528,141,618,759,0.0062712,36.103.203.2,149014,1765746971000
1068347682,as-3vw9fc8krn,deepseek-r1-250528,520,536,1056,0.0063936,36.103.203.2,149014,1765746956000
1068347255,as-0a3kebmkcc,deepseek-r1-250528,141,455,596,0.0047064,36.103.203.2,149014,1765746943000
1068346829,as-7wq2z1mg49,deepseek-r1-250528,482,1830,2312,0.0187248,36.103.203.3,149014,1765746931000
1068345404,as-p3y9fr3hm8,deepseek-r1-250528,98,440,538,0.0044592,36.103.203.2,149014,1765746889000
1068345044,as-rbiintnr09,deepseek-r1-250528,551,431,982,0.00546,36.103.203.3,149014,1765746878000
1068344664,as-ygq4bp9ic1,deepseek-r1-250528,167,433,600,0.0045576,36.103.203.2,149014,1765746867000
1068344292,as-3cbwqw3rn1,deepseek-r1-250528,20143,2832,22975,0.0755304,36.103.203.3,149014,1765746856000
1068252246,as-9m77dg7cvd,deepseek-r1-250528,1343,3600,4943,0.0377832,36.103.203.2,149014,1765743932000
1068249780,as-jvwbfugxdg,deepseek-r1-250528,2760,8951,11711,0.0925536,36.103.203.2,149014,1765743854000
1068243903,as-3wfsfiwi2j,deepseek-r1-250528,504,3110,3614,0.0310656,36.103.203.2,149014,1765743657000
1066341150,as-sadj1sjytz,deepseek-r1-250528,138,370,508,0.0038832,36.103.203.2,149014,1765686558000
1066340982,as-3326tsk02w,deepseek-r1-250528,487,1673,2160,0.0172296,36.103.203.2,149014,1765686548000
1066340262,as-yyj7xewnjp,deepseek-r1-250528,111,375,486,0.0038664,36.103.203.2,149014,1765686507000
1066340016,as-qtbmvc4bpk,deepseek-r1-250528,500,3127,3627,0.0312192,36.103.203.3,149014,1765686495000
1066338986,as-am6pmvdui7,deepseek-r1-250528,134,402,536,0.0041808,36.103.203.2,149014,1765686421000
1066338860,as-g6na4xecqk,deepseek-r1-250528,69870,2538,72408,0.1920528,36.103.203.2,149014,1765686410000
1066306145,as-s700khet40,deepseek-r1-250528,1282,1026,2308,0.0129264,36.103.203.2,149014,1765684308000
1066305818,as-e9e5cwpy1e,deepseek-r1-250528,2763,2748,5511,0.033012,36.103.203.2,149014,1765684283000
1066304705,as-68sqszwxpq,deepseek-r1-250528,566,1278,1844,0.0136272,36.103.203.3,149014,1765684219000
1066304134,as-18nsasx47p,deepseek-r1-250528,200,340,540,0.003744,36.103.203.3,149014,1765684188000
1066303945,as-idy2wnb03m,deepseek-r1-250528,619,2694,3313,0.027348,36.103.203.3,149014,1765684179000
1066302420,as-dfeevcv0pr,deepseek-r1-250528,241,444,685,0.0048408,36.103.203.3,149014,1765684082000
1066302277,as-ucygie31dz,deepseek-r1-250528,55578,1734,57312,0.1500336,36.103.203.3,149014,1765684070000
1067164613,as-6gz8df5kuy,deepseek-r1-250528,139,255,394,0.0027816,36.103.203.3,149014,1765718073000
1067164394,as-uyuqrj3ws1,deepseek-r1-250528,488,2285,2773,0.0231072,36.103.203.2,149014,1765718066000
1067162728,as-vu1hbs8imk,deepseek-r1-250528,110,391,501,0.0040176,36.103.203.2,149014,1765718006000
1067162408,as-tdphkw8xfp,deepseek-r1-250528,493,2352,2845,0.0237624,36.103.203.2,149014,1765717994000
1067160827,as-f3x84zhe0s,deepseek-r1-250528,123,522,645,0.0053064,36.103.203.3,149014,1765717935000
1067160413,as-fnmsmscfsk,deepseek-r1-250528,475,1469,1944,0.0152424,36.103.203.3,149014,1765717920000
1067159300,as-tne5qw3tvx,deepseek-r1-250528,94,291,385,0.0030192,36.103.203.3,149014,1765717884000
1067159060,as-vzjshk7545,deepseek-r1-250528,500,548,1048,0.0064608,36.103.203.2,149014,1765717876000
1067158627,as-9crgb2hv7b,deepseek-r1-250528,119,2187,2306,0.0212808,36.103.203.3,149014,1765717861000
1067157079,as-m1nfcuzm3t,deepseek-r1-250528,26072,2126,28198,0.0829824,36.103.203.3,149014,1765717808000
1067077647,as-hghiaek3ia,deepseek-r1-250528,1316,1419,2735,0.0167808,36.103.203.2,149014,1765714852000
1067076822,as-6gdayrkc14,deepseek-r1-250528,2756,5914,8670,0.0633888,36.103.203.2,149014,1765714819000
1067073742,as-jsikjgzuye,deepseek-r1-250528,348,3313,3661,0.03264,36.103.203.2,149014,1765714675000
1067072323,as-rwq1n89mv1,deepseek-r1-250528,69,245,314,0.0025176,36.103.203.2,149014,1765714595000
1067072201,as-7rf5w3wn2h,deepseek-r1-250528,2766,7658,10424,0.0801552,36.103.203.3,149014,1765714587000
